"Name","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Patrick Mahomes","KC","10","1","453.4","1.0","9.3","2.03","1","It doesn’t get much better than MVP, Super Bowl MVP, and arguably one of the most consistent fantasy seasons for a pocket passer ever. He broke his own record for most top-12 performances in a season with 15. Despite losing Tyreek Hill, Mahomes improvised on the fly, and 34 of 41 of his passing TDs (83 %) came inside the red zone. He said before the season “I’ll be able to spread the ball around more this year” and he delivered with 11 different pass-catchers hauling in a TD. Apart from Travis Kelce, it’s hard betting on anyone else but when it comes to Mahomes, we’re not betting against him repeating his magic. Paying up for an elite QB like him in the 3rd round is viable.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Josh Allen","BUF","13","2","452.3","2.4","9.7","2.10","1","Allen finished #1 in points per game and led all QBs in top-5 performances (11), which outpaced both of the previous two QB1 years. His career-high 20 turnovers almost didn’t even matter as he actually averaged more fantasy points per game and rushing yards when he threw an INT. He’s everything you could want from a fantasy QB and should be the QB1 in redraft yet again. The fantasy landscape is changing so paying up for him in the second round can work with the proper roster construction.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jalen Hurts","PHI","10","3","411.5","2.7","9.7","2.12","1","If Patrick Mahomes and Josh Allen could be considered the QB1 in their respective measures, Hurts should be considered the most consistent QB of 2022. He was #1 in expected fantasy points, #1 in road fantasy points per game (27), and #1 in passer rating versus zone coverage. He improved massively as a passer but what made his fantasy season was his work on the ground. He averaged 11 rush attempts per game, finished with 13 rushing TDs, and the most red zone rush attempts of all-time for a QB. He’s firmly established himself in the elite tier for fantasy and deserves to be in the conversation as a top-3 round pick in 2023.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Joe Burrow","CIN","7","4","403.8","3.0","8.5","3.10","2","Burrow and the Bengals’ offense eventually won out over whatever plan Zac Taylor had at the beginning of the year. From Week 3 on, the Bengals ranked 2nd in pass rate over expectation, 2nd in expected points per play, and he threw the ball on 1st down at a higher rate than anyone else in the league. Burrow ended up 2nd in passing TDs, 4th in fantasy points per game, and 5th in passing yards. He did all this without Ja’Marr Chase for over a month and a banged-up offensive line. It’s hard for him to match the truly elite tier without the added rushing upside that other QBs possess but Burrow’s boom games are always just around the corner.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Lamar Jackson","BAL","13","5","390.3","5.3","9.0","3.12","2","Did you bring some popcorn to the 2023 off-season? Lamar had us guessing and reinterpreting and confused every week until we finally got clarity right before the NFL Draft. He’s a Raven! The former league MVP has quietly become more boom-bust than you might realize. After the lowest yards per attempt (6.9) of his career, it might be easy to be out on Lamar. But running QBs are the great equalizer in fantasy. Keep in mind that 60+ rushing yards and a score is the same as 300 passing yards in most leagues. The combination of Mark Andrews, Odell Beckham Jr., Rashod Bateman, and new rookie Zay Flowers is more than serviceable to keep opposing defenses honest. Lamar has gone from late round QB darling to league MVP to fantasy disappointment and perhaps a value in 2023. Swing away for one of the few players who can break fantasy!","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Justin Herbert","LAC","5","6","386.6","3.0","8.3","4.11","2","Herbert’s 2022 fantasy season was nothing less than frustrating. Despite totaling the 3rd most completions in NFL history, it was all short, short, short, and short again. He ranked 31st in aDOT and finished with only two top-5 QB finishes on the year. The Chargers switched up their offensive coordinator and Kellen Moore’s arrival should open up the offense and capitalize on Herbert’s strength throwing the football down the field. He can return to 35+ passing TDs but without a flood of rushing TDs, it will be tough for him to return to the QB2 season he had in 2021. We are all systems go on Herbert this year.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Justin Fields","CHI","13","7","359.4","5.8","9.3","4.09","3","What a ride it was for Fields in 2022. The Bears came out sluggish and utterly embarrassing for fantasy and then the team had a drastic switch in approach in Week 6. From that moment on, he averaged 24.8 fantasy points per game and OC Luke Getsy decided to utilize more and more designed run calls. His rushing numbers were historic, averaging 7.1 yards per carry (highest in the NFL) and the most QB scrambles of all time. He tied Lamar Jackson for the most games (7) of 80+ rushing yards in a season. The upside is immense and after adding WR DJ Moore to the mix, Fields can be a top-5 QB in our book.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Trevor Lawrence","JAX","9","8","345.4","4.0","6.7","5.12","3","Removed from the stench of Urban Meyer, it was clear the Jaguars made the right call drafting Trevor Lawrence two years ago. He became the 2nd sophomore QB ever to put up 4,000 passing yards, 25 passing TDs, and add five rushing scores joining fellow Clemson alum Deshaun Watson. He was solid in the 2nd half of the year with six top-12 performances. He’s in the conversation as a top-8 fantasy QB again this next year with upside to finish in the top-5 if things break right. His receiving options are solid and adding Calvin Ridley to the mix only helps him.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Geno Smith","SEA","5","9","344.5","3.0","6.7","10.10","3","Smith surpassed anyone’s expectations last year but for fantasy, his season needs some context. From Week 3 on, he had ten top-12 finishes (as many as Joe Burrow in that span), but he was more steady than putting up elite performances. He led all QBs in completion rate (69.8%) and TDs (14) of 20+ yards downfield. In fact, almost 50 percent of his passing TDs were of the deep variety. We shouldn’t take anything away from the Comeback Player of the Year but it’s hard seeing him repeat a top-5 year yet again. Luckily, you don’t have to pay that draft cost in 2023 and the team clearly wanted to outfit him with more weapons from the NFL Draft. He’s one of the few late round QBs we are collectively all about.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Deshaun Watson","CLE","5","10","342.9","7.5","6.7","8.04","3","After serving an 11-game suspension, Watson didn’t exactly return to fantasy dominance as many projected. The Browns offense was noticeably worse in almost every major offensive category compared to Jacoby Brissett. For 2023, he certainly possesses some of the upside you might be looking for in a later round QB. Legal and moral issues aside, Watson is a former top-5 finisher at the position stuck in an offense that prefers to control the clock on the ground. He’s worth a look but we don’t see the same ceiling anymore.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
